PING 192.168.1.3 (192.168.1.3) 56(84) bytes of data.
64 bytes from 192.168.1.3: icmp_req=1 ttl=64 time=20.9 ms
64 bytes from 192.168.1.3: icmp_req=2 ttl=64 time=10.4 ms
64 bytes from 192.168.1.3: icmp_req=3 ttl=64 time=4.65 ms
64 bytes from 192.168.1.3: icmp_req=4 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=5 ttl=64 time=5.90 ms
64 bytes from 192.168.1.3: icmp_req=6 ttl=64 time=7.06 ms
64 bytes from 192.168.1.3: icmp_req=7 ttl=64 time=6.06 ms
64 bytes from 192.168.1.3: icmp_req=8 ttl=64 time=4.82 ms
64 bytes from 192.168.1.3: icmp_req=9 ttl=64 time=3.75 ms
64 bytes from 192.168.1.3: icmp_req=10 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=11 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=12 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=13 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=14 ttl=64 time=8.09 ms
64 bytes from 192.168.1.3: icmp_req=15 ttl=64 time=3.58 ms
64 bytes from 192.168.1.3: icmp_req=16 ttl=64 time=3.46 ms
64 bytes from 192.168.1.3: icmp_req=17 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=18 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=19 ttl=64 time=3.53 ms
64 bytes from 192.168.1.3: icmp_req=20 ttl=64 time=3.59 ms
64 bytes from 192.168.1.3: icmp_req=21 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=22 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=23 ttl=64 time=5.86 ms
64 bytes from 192.168.1.3: icmp_req=24 ttl=64 time=4.69 ms
64 bytes from 192.168.1.3: icmp_req=25 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=26 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=27 ttl=64 time=3.54 ms
64 bytes from 192.168.1.3: icmp_req=28 ttl=64 time=3.60 ms
64 bytes from 192.168.1.3: icmp_req=29 ttl=64 time=3.48 ms
64 bytes from 192.168.1.3: icmp_req=30 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=31 ttl=64 time=3.56 ms
64 bytes from 192.168.1.3: icmp_req=32 ttl=64 time=3.49 ms
64 bytes from 192.168.1.3: icmp_req=33 ttl=64 time=3.62 ms
64 bytes from 192.168.1.3: icmp_req=34 ttl=64 time=5.98 ms
64 bytes from 192.168.1.3: icmp_req=35 ttl=64 time=3.64 ms
64 bytes from 192.168.1.3: icmp_req=36 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=37 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=38 ttl=64 time=3.51 ms
64 bytes from 192.168.1.3: icmp_req=39 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=40 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=41 ttl=64 time=3.47 ms
64 bytes from 192.168.1.3: icmp_req=42 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=43 ttl=64 time=3.63 ms
64 bytes from 192.168.1.3: icmp_req=44 ttl=64 time=3.55 ms
64 bytes from 192.168.1.3: icmp_req=45 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=46 ttl=64 time=4.66 ms
64 bytes from 192.168.1.3: icmp_req=47 ttl=64 time=3.52 ms
64 bytes from 192.168.1.3: icmp_req=48 ttl=64 time=3.45 ms
64 bytes from 192.168.1.3: icmp_req=49 ttl=64 time=3.50 ms
64 bytes from 192.168.1.3: icmp_req=50 ttl=64 time=3.57 ms
64 bytes from 192.168.1.3: icmp_req=51 ttl=64 time=3.65 ms
