PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=0.701 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=0.556 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=0.631 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=0.520 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=0.633 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=0.341 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=0.538 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=0.574 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=0.327 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=0.531 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=0.281 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.672 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=0.614 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=0.553 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=0.321 ms
64 bytes from 192.168.1.2: icmp_seq=16 ttl=64 time=0.361 ms
64 bytes from 192.168.1.2: icmp_seq=17 ttl=64 time=0.555 ms
64 bytes from 192.168.1.2: icmp_seq=18 ttl=64 time=0.547 ms
64 bytes from 192.168.1.2: icmp_seq=19 ttl=64 time=0.304 ms
64 bytes from 192.168.1.2: icmp_seq=20 ttl=64 time=0.653 ms
64 bytes from 192.168.1.2: icmp_seq=21 ttl=64 time=0.585 ms
64 bytes from 192.168.1.2: icmp_seq=22 ttl=64 time=0.562 ms
64 bytes from 192.168.1.2: icmp_seq=23 ttl=64 time=0.753 ms
64 bytes from 192.168.1.2: icmp_seq=24 ttl=64 time=0.547 ms
64 bytes from 192.168.1.2: icmp_seq=25 ttl=64 time=0.352 ms
64 bytes from 192.168.1.2: icmp_seq=26 ttl=64 time=0.523 ms
64 bytes from 192.168.1.2: icmp_seq=27 ttl=64 time=0.662 ms
64 bytes from 192.168.1.2: icmp_seq=28 ttl=64 time=0.604 ms
64 bytes from 192.168.1.2: icmp_seq=29 ttl=64 time=0.540 ms
64 bytes from 192.168.1.2: icmp_seq=30 ttl=64 time=0.322 ms
64 bytes from 192.168.1.2: icmp_seq=31 ttl=64 time=0.327 ms
64 bytes from 192.168.1.2: icmp_seq=32 ttl=64 time=0.349 ms
64 bytes from 192.168.1.2: icmp_seq=33 ttl=64 time=0.547 ms
64 bytes from 192.168.1.2: icmp_seq=34 ttl=64 time=0.344 ms
64 bytes from 192.168.1.2: icmp_seq=35 ttl=64 time=0.651 ms
64 bytes from 192.168.1.2: icmp_seq=36 ttl=64 time=0.538 ms
64 bytes from 192.168.1.2: icmp_seq=37 ttl=64 time=0.550 ms
64 bytes from 192.168.1.2: icmp_seq=38 ttl=64 time=0.382 ms
64 bytes from 192.168.1.2: icmp_seq=39 ttl=64 time=0.524 ms
64 bytes from 192.168.1.2: icmp_seq=40 ttl=64 time=0.544 ms
64 bytes from 192.168.1.2: icmp_seq=41 ttl=64 time=0.297 ms
64 bytes from 192.168.1.2: icmp_seq=42 ttl=64 time=0.677 ms
64 bytes from 192.168.1.2: icmp_seq=43 ttl=64 time=0.606 ms
64 bytes from 192.168.1.2: icmp_seq=44 ttl=64 time=0.544 ms
64 bytes from 192.168.1.2: icmp_seq=45 ttl=64 time=0.312 ms
64 bytes from 192.168.1.2: icmp_seq=46 ttl=64 time=0.540 ms
64 bytes from 192.168.1.2: icmp_seq=47 ttl=64 time=0.317 ms
64 bytes from 192.168.1.2: icmp_seq=48 ttl=64 time=0.668 ms
64 bytes from 192.168.1.2: icmp_seq=49 ttl=64 time=0.320 ms
64 bytes from 192.168.1.2: icmp_seq=50 ttl=64 time=0.719 ms
64 bytes from 192.168.1.2: icmp_seq=51 ttl=64 time=0.534 ms
64 bytes from 192.168.1.2: icmp_seq=52 ttl=64 time=0.558 ms
64 bytes from 192.168.1.2: icmp_seq=53 ttl=64 time=0.603 ms
64 bytes from 192.168.1.2: icmp_seq=54 ttl=64 time=0.333 ms
64 bytes from 192.168.1.2: icmp_seq=55 ttl=64 time=0.304 ms
64 bytes from 192.168.1.2: icmp_seq=56 ttl=64 time=0.516 ms
64 bytes from 192.168.1.2: icmp_seq=57 ttl=64 time=0.677 ms
64 bytes from 192.168.1.2: icmp_seq=58 ttl=64 time=0.573 ms
64 bytes from 192.168.1.2: icmp_seq=59 ttl=64 time=0.511 ms
64 bytes from 192.168.1.2: icmp_seq=60 ttl=64 time=0.329 ms
64 bytes from 192.168.1.2: icmp_seq=61 ttl=64 time=0.306 ms
64 bytes from 192.168.1.2: icmp_seq=62 ttl=64 time=0.549 ms
64 bytes from 192.168.1.2: icmp_seq=63 ttl=64 time=0.622 ms
64 bytes from 192.168.1.2: icmp_seq=64 ttl=64 time=0.544 ms
64 bytes from 192.168.1.2: icmp_seq=65 ttl=64 time=0.669 ms
64 bytes from 192.168.1.2: icmp_seq=66 ttl=64 time=0.553 ms
64 bytes from 192.168.1.2: icmp_seq=67 ttl=64 time=0.526 ms
64 bytes from 192.168.1.2: icmp_seq=68 ttl=64 time=0.582 ms
64 bytes from 192.168.1.2: icmp_seq=69 ttl=64 time=0.358 ms
64 bytes from 192.168.1.2: icmp_seq=70 ttl=64 time=0.526 ms
64 bytes from 192.168.1.2: icmp_seq=71 ttl=64 time=0.528 ms
64 bytes from 192.168.1.2: icmp_seq=72 ttl=64 time=0.640 ms
64 bytes from 192.168.1.2: icmp_seq=73 ttl=64 time=0.720 ms
64 bytes from 192.168.1.2: icmp_seq=74 ttl=64 time=0.597 ms
64 bytes from 192.168.1.2: icmp_seq=75 ttl=64 time=0.583 ms
64 bytes from 192.168.1.2: icmp_seq=76 ttl=64 time=0.511 ms
64 bytes from 192.168.1.2: icmp_seq=77 ttl=64 time=0.329 ms
64 bytes from 192.168.1.2: icmp_seq=78 ttl=64 time=0.533 ms
64 bytes from 192.168.1.2: icmp_seq=79 ttl=64 time=0.307 ms
64 bytes from 192.168.1.2: icmp_seq=80 ttl=64 time=0.674 ms
64 bytes from 192.168.1.2: icmp_seq=81 ttl=64 time=0.559 ms
64 bytes from 192.168.1.2: icmp_seq=82 ttl=64 time=0.535 ms
64 bytes from 192.168.1.2: icmp_seq=83 ttl=64 time=0.594 ms
64 bytes from 192.168.1.2: icmp_seq=84 ttl=64 time=0.553 ms
64 bytes from 192.168.1.2: icmp_seq=85 ttl=64 time=0.326 ms
64 bytes from 192.168.1.2: icmp_seq=86 ttl=64 time=0.518 ms
64 bytes from 192.168.1.2: icmp_seq=87 ttl=64 time=0.713 ms
64 bytes from 192.168.1.2: icmp_seq=88 ttl=64 time=0.568 ms
64 bytes from 192.168.1.2: icmp_seq=89 ttl=64 time=0.334 ms
64 bytes from 192.168.1.2: icmp_seq=90 ttl=64 time=0.538 ms
64 bytes from 192.168.1.2: icmp_seq=91 ttl=64 time=0.316 ms
64 bytes from 192.168.1.2: icmp_seq=92 ttl=64 time=0.554 ms
64 bytes from 192.168.1.2: icmp_seq=93 ttl=64 time=0.587 ms
64 bytes from 192.168.1.2: icmp_seq=94 ttl=64 time=0.336 ms
64 bytes from 192.168.1.2: icmp_seq=95 ttl=64 time=0.688 ms
64 bytes from 192.168.1.2: icmp_seq=96 ttl=64 time=0.676 ms
64 bytes from 192.168.1.2: icmp_seq=97 ttl=64 time=0.566 ms
64 bytes from 192.168.1.2: icmp_seq=98 ttl=64 time=0.679 ms
64 bytes from 192.168.1.2: icmp_seq=99 ttl=64 time=0.536 ms
64 bytes from 192.168.1.2: icmp_seq=100 ttl=64 time=0.562 ms

--- 192.168.1.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19798ms
rtt min/avg/max/mdev = 0.281/0.517/0.753/0.129 ms
