1417791069.712940 2014-12-05 15:51:09.712
# symbols: index r/w length name
1 t 1 timestamp
2 r 1 tick
3 r 1 rhdlogging
4 w 1 rhdloginterval
1417791069.712 0 1 0 
1417791070.712 1 1 0 
1417791070.732 2 1 0 
1417791070.752 3 1 0 
1417791070.772 4 1 0 
1417791070.792 5 1 0 
1417791070.812 6 1 0 
1417791070.832 7 1 0 
1417791070.852 8 1 0 
1417791070.872 9 1 0 
1417791070.892 10 1 0 
1417791070.912 11 1 0 
1417791070.932 12 1 0 
1417791070.952 13 1 0 
1417791070.972 14 1 0 
1417791070.992 15 1 0 
1417791071.012 16 1 0 
1417791071.032 17 1 0 
1417791071.052 18 1 0 
1417791071.072 19 1 0 
1417791071.092 20 1 0 
1417791071.112 21 1 0 
1417791071.132 22 1 0 
1417791071.152 23 1 0 
1417791071.172 24 1 0 
1417791071.192 25 1 0 
1417791071.212 26 1 0 
1417791071.232 27 1 0 
1417791071.252 28 1 0 
1417791071.272 29 1 0 
1417791071.292 30 1 0 
1417791071.312 31 1 0 
1417791071.332 32 1 0 
1417791071.352 33 1 0 
1417791071.372 34 1 0 
1417791071.392 35 1 0 
1417791071.412 36 1 0 
1417791071.432 37 1 0 
1417791071.452 38 1 0 
1417791071.472 39 1 0 
1417791071.492 40 1 0 
1417791071.512 41 1 0 
1417791071.532 42 1 0 
1417791071.552 43 1 0 
1417791071.572 44 1 0 
1417791071.592 45 1 0 
1417791071.612 46 1 0 
1417791071.632 47 1 0 
1417791071.652 48 1 0 
1417791071.672 49 1 0 
1417791071.692 50 1 0 
1417791071.712 51 1 0 
1417791071.732 52 1 0 
1417791071.752 53 1 0 
1417791071.772 54 1 0 
1417791071.792 55 1 0 
1417791071.812 56 1 0 
1417791071.832 57 1 0 
1417791071.852 58 1 0 
1417791071.872 59 1 0 
1417791071.892 60 1 0 
1417791071.912 61 1 0 
1417791071.932 62 1 0 
1417791071.952 63 1 0 
1417791071.972 64 1 0 
1417791071.992 65 1 0 
1417791072.012 66 1 0 
1417791072.032 67 1 0 
1417791072.052 68 1 0 
1417791072.072 69 1 0 
1417791072.092 70 1 0 
1417791072.112 71 1 0 
1417791072.132 72 1 0 
1417791072.152 73 1 0 
1417791072.172 74 1 0 
1417791072.192 75 1 0 
1417791072.212 76 1 0 
1417791072.232 77 1 0 
1417791072.252 78 1 0 
1417791072.272 79 1 0 
1417791072.292 80 1 0 
1417791072.312 81 1 0 
1417791072.332 82 1 0 
1417791072.352 83 1 0 
1417791072.372 84 1 0 
1417791072.392 85 1 0 
1417791072.412 86 1 0 
1417791072.432 87 1 0 
1417791072.452 88 1 0 
1417791072.472 89 1 0 
1417791072.492 90 1 0 
1417791072.512 91 1 0 
1417791072.532 92 1 0 
1417791072.552 93 1 0 
1417791072.572 94 1 0 
1417791072.592 95 1 0 
1417791072.612 96 1 0 
1417791072.632 97 1 0 
1417791072.652 98 1 0 
1417791072.672 99 1 0 
1417791072.692 100 1 0 
1417791072.712 101 1 0 
1417791072.732 102 1 0 
1417791072.752 103 1 0 
1417791072.772 104 1 0 
1417791072.792 105 1 0 
1417791072.812 106 1 0 
1417791072.832 107 1 0 
1417791072.852 108 1 0 
1417791072.872 109 1 0 
1417791072.892 110 1 0 
1417791072.912 111 1 0 
1417791072.932 112 1 0 
1417791072.952 113 1 0 
1417791072.972 114 1 0 
1417791072.992 115 1 0 
1417791073.012 116 1 0 
1417791073.032 117 1 0 
1417791073.052 118 1 0 
1417791073.072 119 1 0 
1417791073.092 120 1 0 
1417791073.112 121 1 0 
1417791073.132 122 1 0 
1417791073.152 123 1 0 
1417791073.172 124 1 0 
1417791073.192 125 1 0 
1417791073.212 126 1 0 
1417791073.232 127 1 0 
1417791073.252 128 1 0 
1417791073.272 129 1 0 
1417791073.292 130 1 0 
1417791073.312 131 1 0 
1417791073.332 132 1 0 
1417791073.352 133 1 0 
1417791073.372 134 1 0 
1417791073.392 135 1 0 
1417791073.412 136 1 0 
1417791073.432 137 1 0 
1417791073.452 138 1 0 
1417791073.472 139 1 0 
1417791073.492 140 1 0 
1417791073.512 141 1 0 
1417791073.532 142 1 0 
1417791073.552 143 1 0 
1417791073.572 144 1 0 
1417791073.592 145 1 0 
1417791073.612 146 1 0 
1417791073.632 147 1 0 
1417791073.652 148 1 0 
1417791073.672 149 1 0 
1417791073.692 150 1 0 
1417791073.712 151 1 0 
1417791073.732 152 1 0 
1417791073.752 153 1 0 
1417791073.772 154 1 0 
1417791073.792 155 1 0 
1417791073.812 156 1 0 
1417791073.832 157 1 0 
1417791073.852 158 1 0 
1417791073.872 159 1 0 
1417791073.892 160 1 0 
1417791073.912 161 1 0 
1417791073.932 162 1 0 
1417791073.952 163 1 0 
1417791073.972 164 1 0 
1417791073.992 165 1 0 
1417791074.012 166 1 0 
1417791074.032 167 1 0 
1417791074.052 168 1 0 
1417791074.072 169 1 0 
1417791074.092 170 1 0 
1417791074.112 171 1 0 
1417791074.132 172 1 0 
1417791074.152 173 1 0 
1417791074.172 174 1 0 
1417791074.192 175 1 0 
1417791074.212 176 1 0 
1417791074.232 177 1 0 
1417791074.252 178 1 0 
1417791074.272 179 1 0 
1417791074.292 180 1 0 
1417791074.312 181 1 0 
1417791074.332 182 1 0 
1417791074.352 183 1 0 
1417791074.372 184 1 0 
1417791074.392 185 1 0 
1417791074.412 186 1 0 
1417791074.432 187 1 0 
1417791074.452 188 1 0 
1417791074.472 189 1 0 
1417791074.492 190 1 0 
1417791074.512 191 1 0 
1417791074.532 192 1 0 
1417791074.552 193 1 0 
1417791074.572 194 1 0 
1417791074.592 195 1 0 
1417791074.612 196 1 0 
1417791074.632 197 1 0 
1417791074.652 198 1 0 
1417791074.672 199 1 0 
1417791074.692 200 1 0 
1417791074.712 201 1 0 
1417791074.732 202 1 0 
1417791074.752 203 1 0 
1417791074.772 204 1 0 
1417791074.792 205 1 0 
1417791074.812 206 1 0 
1417791074.832 207 1 0 
1417791074.852 208 1 0 
1417791074.872 209 1 0 
1417791074.892 210 1 0 
1417791074.912 211 1 0 
1417791074.932 212 1 0 
1417791074.952 213 1 0 
1417791074.972 214 1 0 
1417791074.992 215 1 0 
1417791075.012 216 1 0 
1417791075.032 217 1 0 
1417791075.052 218 1 0 
1417791075.072 219 1 0 
1417791075.092 220 1 0 
1417791075.112 221 1 0 
1417791075.132 222 1 0 
1417791075.152 223 1 0 
1417791075.172 224 1 0 
1417791075.192 225 1 0 
1417791075.212 226 1 0 
1417791075.232 227 1 0 
1417791075.252 228 1 0 
1417791075.272 229 1 0 
1417791075.292 230 1 0 
1417791075.312 231 1 0 
1417791075.332 232 1 0 
1417791075.352 233 1 0 
1417791075.372 234 1 0 
1417791075.392 235 1 0 
1417791075.412 236 1 0 
1417791075.432 237 1 0 
1417791075.452 238 1 0 
1417791075.472 239 1 0 
1417791075.492 240 1 0 
1417791075.512 241 1 0 
1417791075.532 242 1 0 
1417791075.552 243 1 0 
1417791075.572 244 1 0 
1417791075.592 245 1 0 
1417791075.612 246 1 0 
1417791075.632 247 1 0 
1417791075.652 248 1 0 
1417791075.672 249 1 0 
1417791075.692 250 1 0 
1417791075.712 251 1 0 
1417791075.732 252 1 0 
1417791075.752 253 1 0 
1417791075.772 254 1 0 
1417791075.792 255 1 0 
1417791075.812 256 1 0 
1417791075.832 257 1 0 
1417791075.852 258 1 0 
1417791075.872 259 1 0 
1417791075.892 260 1 0 
1417791075.912 261 1 0 
1417791075.932 262 1 0 
1417791075.952 263 1 0 
1417791075.972 264 1 0 
1417791075.992 265 1 0 
1417791076.012 266 1 0 
1417791076.032 267 1 0 
1417791076.052 268 1 0 
